Original,Clean,Source
IL 9007,IL9007,ALS_Concat_Cleaned.csv & landsale.csv
IL 9008,IL9008,landsale.csv
IL 9020,IL9020,ALS_Concat_Cleaned.csv & landsale.csv
IL 9025,IL9025,landsale.csv
IL 9027,IL9027,ALS_Concat_Cleaned.csv & landsale.csv
IL 9029,IL9029,landsale.csv
IL 9036,IL9036,ALS_Concat_Cleaned.csv
IL 9043,IL9043,landsale.csv
IL 9044,IL9044,landsale.csv
IL 9048,IL9048,ALS_Concat_Cleaned.csv
IL 9049,IL9049,ALS_Concat_Cleaned.csv
IL8921,IL8921,landsale.csv
in DD 213 LOT 323,LOT323DD213,landsale.csv
INLAND LOT NO. 8872,IL8872,landsale.csv
INLAND LOT NO. 8945,IL8945,landsale.csv
INLAND LOT NO. 9036,IL9036,landsale.csv
INLAND LOT NO. 9048,IL9048,landsale.csv
INLAND LOT NO. 9049,IL9049,landsale.csv
INLAND LOT NO. 9051,IL9051,landsale.csv
INLAND LOT NO. 9056 ON,IL9056,landsale.csv
INLAND LOT NO. 9060,IL9060,landsale.csv
INLAND LOT NO. 9061,IL9061,landsale.csv
INLAND LOT NO. 9069,IL9069,landsale.csv
INLAND LOT NO. 9088,IL9088,landsale.csv
INLAND LOT NO. 9094,IL9094,landsale.csv
INLAND LOT NO. NO. 9076,IL9076,landsale.csv
JBTL 10,JBTL10,landsale.csv
JBTL 11,JBTL11,landsale.csv
JBTL 6,JBTL6,landsale.csv
KCL 7,KCL7,landsale.csv
KCTL 384,KCTL384,landsale.csv
KCTL 395,KCTL395,landsale.csv
KCTL 398,KCTL398,landsale.csv
KCTL 405,KCTL405,landsale.csv
KCTL 426,KCTL426,landsale.csv
KCTL 433,KCTL433,landsale.csv
KCTL 435,KCTL435,landsale.csv
KCTL 436,KCTL436,landsale.csv
KCTL 437,KCTL437,landsale.csv
KCTL 442,KCTL442,landsale.csv
KCTL 452,KCTL452,landsale.csv
KCTL 455,KCTL455,landsale.csv
KCTL 470,KCTL470,landsale.csv
KCTL 478,KCTL478,ALS_Concat_Cleaned.csv
KCTL 479,KCTL479,landsale.csv
KCTL 480,KCTL480,landsale.csv
KCTL 481,KCTL481,landsale.csv
KCTL 484,KCTL484,landsale.csv
KCTL 486,KCTL486,ALS_Concat_Cleaned.csv
KCTL 487,KCTL487,ALS_Concat_Cleaned.csv
KCTL 504,KCTL504,landsale.csv
KCTL 507,KCTL507,landsale.csv
KCTL 508,KCTL508,landsale.csv
KCTL 510,KCTL510,landsale.csv
KIL 10722,KIL10722,landsale.csv
KIL 10749,KIL10749,landsale.csv
KIL 10751,KIL10751,landsale.csv
KIL 10795,KIL10795,landsale.csv
KIL 10796,KIL10796,landsale.csv
KIL 10874,KIL10874,landsale.csv
KIL 10971,KIL10971,landsale.csv
KIL 10972,KIL10972,landsale.csv
KIL 10985,KIL10985,landsale.csv
KIL 10986,KIL10986,landsale.csv
KIL 10999,KIL10999,landsale.csv
KIL 11001,KIL11001,landsale.csv
KIL 11002,KIL11002,landsale.csv
KIL 11005,KIL11005,landsale.csv
KIL 11035,KIL11035,landsale.csv
KIL 11044,KIL11044,landsale.csv
KIL 11055,KIL11055,landsale.csv
KIL 11063,KIL11063,landsale.csv
KIL 11064,KIL11064,landsale.csv
KIL 11073,KIL11073,ALS_Concat_Cleaned.csv & landsale.csv
KIL 11075,KIL11075,landsale.csv
KIL 11076,KIL11076,landsale.csv
KIL 11082,KIL11082,landsale.csv
KIL 11084,KIL11084,landsale.csv
KIL 11086,KIL11086,landsale.csv
KIL 11091,KIL11091,landsale.csv
KIL 11103,KIL11103,ALS_Concat_Cleaned.csv & landsale.csv
KIL 11107,KIL11107,landsale.csv
KIL 11108,KIL11108,landsale.csv
KIL 11110,KIL11110,ALS_Concat_Cleaned.csv & landsale.csv
KIL 11111,KIL11111,ALS_Concat_Cleaned.csv & landsale.csv
KIL 11118,KIL11118,landsale.csv
KIL 11120,KIL11120,ALS_Concat_Cleaned.csv & landsale.csv
KIL 11122,KIL11122,landsale.csv
KIL 11124,KIL11124,ALS_Concat_Cleaned.csv & landsale.csv
KIL 11125,KIL11125,landsale.csv
KIL 11140,KIL11140,ALS_Concat_Cleaned.csv
KIL 11145,KIL11145,landsale.csv
KIL 11146,KIL11146,ALS_Concat_Cleaned.csv & landsale.csv
KIL 11152,KIL11152,landsale.csv
KIL 11158,KIL11158,ALS_Concat_Cleaned.csv & landsale.csv
KIL 11161,KIL11161,landsale.csv
KIL 11167,KIL11167,ALS_Concat_Cleaned.csv & landsale.csv
KIL 11168,KIL11168,ALS_Concat_Cleaned.csv & landsale.csv
KIL 11175,KIL11175,ALS_Concat_Cleaned.csv & landsale.csv
KIL 11177,KIL11177,landsale.csv
KIL 11180,KIL11180,landsale.csv
KIL 11184,KIL11184,ALS_Concat_Cleaned.csv & landsale.csv
KIL 11185,KIL11185,landsale.csv
KIL 11186,KIL11186,landsale.csv
KIL 11187,KIL11187,landsale.csv
KIL 11194,KIL11194,landsale.csv
KIL 11202,KIL11202,ALS_Concat_Cleaned.csv
KIL 11205,KIL11205,ALS_Concat_Cleaned.csv & landsale.csv
KIL 11227,KIL11227,ALS_Concat_Cleaned.csv & landsale.csv
KIL 11228,KIL11228,ALS_Concat_Cleaned.csv
KIL 11229,KIL11229,ALS_Concat_Cleaned.csv & landsale.csv
KIL 11235,KIL11235,ALS_Concat_Cleaned.csv
KIL11125,KIL11125,ALS_Concat_Cleaned.csv
KOWLOON 15 INLAND LOT NO. 11237,KIL11237,landsale.csv
KOWLOON 650 INLAND LOT NO. 6410,KIL6410,landsale.csv
KOWLOON 779 INLAND LOT NO. 6543,KIL6543,landsale.csv
KOWLOON INLAND LOT NO. 11228,KIL11228,landsale.csv
KOWLOON INLAND LOT NO. 11238,KIL11238,landsale.csv
KOWLOON INLAND LOT NO. 11240,KIL11240,landsale.csv
KOWLOON INLAND LOT NO. 11257,KIL11257,landsale.csv
KOWLOON INLAND LOT NO. 11261,KIL11261,landsale.csv
KOWLOON INLAND LOT NO. 11262,KIL11262,landsale.csv
KOWLOON INLAND LOT NO. 11273,KIL11273,landsale.csv
KOWLOON INLAND LOT NO. 6532,KIL6532,landsale.csv
"KOWLOON INLAND LOT NO. 6607 TAK,",KIL6607,landsale.csv
KOWLOON INLAND LOT NO. YIP 6512 YIP YIP HOI,KIL6512,landsale.csv
KOWLOON KAI INLAND LOT NO. 6541,KIL6541,landsale.csv
KOWLOON KAI INLAND LOT NO. SITE 6546,KIL6546,landsale.csv
KOWLOON KAI INLAND LOT NO. SITE 6552,KIL6552,landsale.csv
KOWLOON KAI INLAND LOT NO. SITE 6553,KIL6553,landsale.csv
KOWLOON KAI INLAND LOT NO. SITE 6554,KIL6554,landsale.csv
KOWLOON KAI INLAND LOT NO. SITE 6577,KIL6577,landsale.csv
KOWLOON NO. INLAND LOT NO. 6614,KIL6614,landsale.csv
KOWLOON NO. INLAND LOT NO. 6616,KIL6616,landsale.csv
KOWLOON NO. INLAND LOT NO. 6622,KIL6622,landsale.csv
KOWLOON NO. INLAND LOT NO. 6623,KIL6623,landsale.csv
KTIL 713,KTIL713,landsale.csv
KTIL 715,KTIL715,landsale.csv
KWAI CHUNG KIN TOWN LOT NO. 495,KCTL495,landsale.csv
KWAI CHUNG TOWN LOT NO. 478,KCTL478,landsale.csv
KWAI CHUNG TOWN LOT NO. 515,KCTL515,landsale.csv
KWAI CHUNG TOWN LOT NO. 517,KCTL517,landsale.csv
KWAI CHUNG TOWN LOT NO. 518,KCTL518,landsale.csv
KWAI CHUNG TOWN LOT NO. 521,KCTL521,landsale.csv
KWAI CHUNG TOWN LOT NO. 522,KCTL522,landsale.csv
KWAI CHUNG TOWN LOT NO. 524,KCTL524,landsale.csv
KWAI CHUNG TOWN LOT NO. 527,KCTL527,landsale.csv
KWAI CHUNG TOWN LOT NO. 528,KCTL528,landsale.csv
KWAI CHUNG TOWN LOT NO. 531,KCTL531,landsale.csv
KWAI CHUNG TOWN LOT NO. YIU 487 KEI,KCTL487,landsale.csv
KWUN TONG INLAND LOT NO. 761,KTIL761,landsale.csv
LONG TOWN 90 LOT NO. 536,YLTL536,landsale.csv
LOT 1000 in 40,LOT1000DD40,landsale.csv
Lot 1002 in DD 215,LOT1002DD215,landsale.csv
Lot 1002 in DD 40,LOT1002DD40,ALS_Concat_Cleaned.csv
Lot 1003 in DD 40,LOT1003DD40,ALS_Concat_Cleaned.csv
Lot 1004 in DD 40,LOT1004DD40,ALS_Concat_Cleaned.csv
LOT 1007 in 215,LOT1007DD215,landsale.csv
LOT 1008 in 215,LOT1008DD215,landsale.csv
LOT 1104 in 215,LOT1104DD215,landsale.csv
LOT 1107 in DD 215,LOT1107DD215,landsale.csv
LOT 1140 in DD 215,LOT1140DD215,landsale.csv
Lot 1142 D.D. 215,LOT1142DD215,ALS_Concat_Cleaned.csv
Lot 1142 in DD 215,LOT1142DD215,ALS_Concat_Cleaned.csv
Lot 1144 in DD 215,LOT1144DD215,landsale.csv
Lot 1176 DD 215,LOT1176DD215,ALS_Concat_Cleaned.csv
Lot 1176 in D.D. 215,LOT1176DD215,ALS_Concat_Cleaned.csv
Lot 1176 in DD 215,LOT1176DD215,ALS_Concat_Cleaned.csv
LOT 1184 IN DD 217,LOT1184DD217,landsale.csv
LOT 1196 in DD 253,LOT1196DD253,landsale.csv
LOT 1197 in 253,LOT1197DD253,landsale.csv
LOT 1198 in 253,LOT1198DD253,landsale.csv
Lot 1200 in DD 217,LOT1200DD217,ALS_Concat_Cleaned.csv
LOT 1209 in DD 253,LOT1209DD253,landsale.csv
Lot 1282 in DD 253,LOT1282DD253,ALS_Concat_Cleaned.csv
LOT 1282 IN DD 253,LOT1282DD253,landsale.csv
LOT 13 in DD 231,LOT13DD231,landsale.csv
Lot 14 in DD 231,LOT14DD231,ALS_Concat_Cleaned.csv
LOT 14 in DD 231,LOT14DD231,landsale.csv
Lot 1588 DD 243,LOT1588DD243,ALS_Concat_Cleaned.csv
Lot 1588 in DD 243,LOT1588DD243,ALS_Concat_Cleaned.csv
Lot 1613 in DD 222,LOT1613DD222,ALS_Concat_Cleaned.csv
LOT 1620 in DD 77,LOT1620DD77,landsale.csv
LOT 1736 in DD 122,LOT1736DD122,landsale.csv
LOT 1760 in CHEUNG CHAU,LOT1760DDCHEUNGCHAU,landsale.csv
LOT 1761 in CHEUNG CHAU,LOT1761DDCHEUNGCHAU,landsale.csv
LOT 1762 in CHEUNG CHAU,LOT1762DDCHEUNGCHAU,landsale.csv
LOT 1772 in CHEUNG CHAU,LOT1772DDCHEUNGCHAU,landsale.csv
LOT 1773 in CHEUNG CHAU,LOT1773DDCHEUNGCHAU,landsale.csv
LOT 1774 in CHEUNG CHAU,LOT1774DDCHEUNGCHAU,landsale.csv
LOT 1775 in CHEUNG CHAU,LOT1775DDCHEUNGCHAU,landsale.csv
LOT 1777 in CHEUNG CHAU,LOT1777DDCHEUNGCHAU,landsale.csv
LOT 1778 in CHEUNG CHAU,LOT1778DDCHEUNGCHAU,landsale.csv
LOT 1781 in CHEUNG CHAU,LOT1781DDCHEUNGCHAU,landsale.csv
LOT 1782 in CHEUNG CHAU,LOT1782DDCHEUNGCHAU,landsale.csv
LOT 1783 in CHEUNG CHAU,LOT1783DDCHEUNGCHAU,landsale.csv
LOT 1791 in CHEUNG CHAU,LOT1791DDCHEUNGCHAU,landsale.csv
LOT 1795 in CHEUNG CHAU,LOT1795DDCHEUNGCHAU,landsale.csv
Lot 1847 in DD Cheung Chau,LOT1847DDCHEUNGCHAU,ALS_Concat_Cleaned.csv
LOT 1847 IN DD CHEUNG CHAU,LOT1847DDCHEUNGCHAU,landsale.csv
Lot 1848 DD Cheung Chau,LOT1848DDCHEUNGCHAU,ALS_Concat_Cleaned.csv
Lot 1848 in DD Cheung Chau,LOT1848DDCHEUNGCHAU,ALS_Concat_Cleaned.csv
Lot 1949 in DD 221,LOT1949DD221,ALS_Concat_Cleaned.csv
Lot 1950 DD 221,LOT1950DD221,ALS_Concat_Cleaned.csv
Lot 1950 in DD 221,LOT1950DD221,ALS_Concat_Cleaned.csv
LOT 1980 in SD 2,LOT1980SD2,landsale.csv
Lot 2011 in DD 121,LOT2011DD121,landsale.csv
Lot 2013 in DD121,LOT2013DD121,landsale.csv
Lot 2035 D.D. 121,LOT2035DD121,ALS_Concat_Cleaned.csv
LOT 2051 IN DD 121,LOT2051DD121,landsale.csv
LOT 2052 IN DD 121,LOT2052DD121,landsale.csv
LOT 2058 in DD 121,LOT2058DD121,landsale.csv
Lot 2086 in DD 105,LOT2086DD105,ALS_Concat_Cleaned.csv
Lot 2129 DD 121,LOT2129DD121,ALS_Concat_Cleaned.csv
Lot 2129 in DD 121,LOT2129DD121,ALS_Concat_Cleaned.csv
LOT 2137 IN DD 121,LOT2137DD121,landsale.csv
LOT 214 in DD 387,LOT214DD387,landsale.csv
LOT 227 in DD 331 LANTAU,LOT227DD331,landsale.csv
LOT 236 in 229,LOT236DD229,landsale.csv
LOT 237 in DD 331,LOT237DD331,landsale.csv
LOT 242 in DD 331 LANTAU,LOT242DD331,landsale.csv
LOT 244 in DD 331,LOT244DD331,landsale.csv
Lot 245 D.D. 331,LOT245DD331,ALS_Concat_Cleaned.csv
Lot 245 DD 331,LOT245DD331,ALS_Concat_Cleaned.csv
LOT 245 IN DD 331,LOT245DD331,landsale.csv
Lot 246 DD 331,LOT246DD331,ALS_Concat_Cleaned.csv
Lot 246 in DD 331,LOT246DD331,landsale.csv
LOT 345 in DD 252,LOT345DD252,landsale.csv
LOT 348 IN DD 252,LOT348DD252,landsale.csv
LOT 4284 in DD 124,LOT4284DD124,landsale.csv
Lot 4309 in DD 124,LOT4309DD124,ALS_Concat_Cleaned.csv
LOT 5317 in 51,LOT5317DD51,landsale.csv
LOT 5346 in 51,LOT5346DD51,landsale.csv
LOT 5347 in 51,LOT5347DD51,landsale.csv
LOT 647 in PENG CHAU,LOT647DDPENGCHAU,landsale.csv
LOT 649 in PENG CHAU,LOT649DDPENGCHAU,landsale.csv
LOT 661 in PENG CHAU,LOT661DDPENGCHAU,landsale.csv
Lot 673 DD Peng Chau,LOT673DDPENGCHAU,ALS_Concat_Cleaned.csv
Lot 673 in DD Peng Chau,LOT673DDPENGCHAU,ALS_Concat_Cleaned.csv
Lot 674 DD Peng Chau,LOT674DDPENGCHAU,ALS_Concat_Cleaned.csv
Lot 674 in DD Peng Chau,LOT674DDPENGCHAU,ALS_Concat_Cleaned.csv
Lot 676 DD Peng Chau,LOT676DDPENGCHAU,ALS_Concat_Cleaned.csv
Lot 676 in DD Peng Chau,LOT676DDPENGCHAU,ALS_Concat_Cleaned.csv
Lot 678 in DD Peng Chau,LOT678DDPENGCHAU,ALS_Concat_Cleaned.csv
LOT 716 in DD 4,LOT716DD4,landsale.csv
LOT 717 in DD 4,LOT717DD4,landsale.csv
LOT 723 in 4,LOT723DD4,landsale.csv
Lot 724 in DD 332,LOT724DD332,ALS_Concat_Cleaned.csv
Lot 726 in DD 332,LOT726DD332,ALS_Concat_Cleaned.csv
Lot 726 in DD 4,LOT726DD4,ALS_Concat_Cleaned.csv
"LOT 729 in DD MUI WO, LANTAU",LOT729DDMUIWO,landsale.csv
Lot 734 D.D. 4,LOT734DD4,ALS_Concat_Cleaned.csv
Lot 734 DD 4,LOT734DD4,ALS_Concat_Cleaned.csv
Lot 734 in DD 4,LOT734DD4,ALS_Concat_Cleaned.csv
Lot 735 in DD 332,LOT735DD332,ALS_Concat_Cleaned.csv
Lot 736 in D.D. 332,LOT736DD332,landsale.csv
Lot 736 in DD 332,LOT736DD332,ALS_Concat_Cleaned.csv
Lot 750 in DD 332,LOT750DD332,ALS_Concat_Cleaned.csv
Lot 750 in DD 85,LOT750DD85,ALS_Concat_Cleaned.csv
LOT 783 in DD 216,LOT783DD216,landsale.csv
LOT 788 in DD 216,LOT788DD216,landsale.csv
LOT 789 in DD 216,LOT789DD216,landsale.csv
LOT 811 in DD 110,LOT811DD110,landsale.csv
LOT 812 in DD 110,LOT812DD110,landsale.csv
LOT 868 in DD 1 LAMMA,LOT868DD1,landsale.csv
LOT 943 in D.D. 94,LOT943DD94,landsale.csv
Lot 943 in DD 94,LOT943DD94,ALS_Concat_Cleaned.csv
LOT 991 in DD 215,LOT991DD215,landsale.csv
LOT NO. 1003 IN DEMARCATION DISTRICT NO. 214 SAI,LOT1003DD214,landsale.csv
LOT NO. 1003 IN DEMARCATION DISTRICT NO. 40,LOT1003DD40,landsale.csv
LOT NO. 1066 IN DEMARCATION DISTRICT NO. 103,LOT1066DD103,landsale.csv
LOT NO. 1068 IN SURVEY DISTRICT NO. 3,LOT1068SD3,landsale.csv
LOT NO. 1069 IN SURVEY DISTRICT NO. 3,LOT1069SD3,landsale.csv
LOT NO. 1077 IN SURVEY DISTRICT NO. 3,LOT1077SD3,landsale.csv
LOT NO. 1078 IN SURVEY DISTRICT NO. 3,LOT1078SD3,landsale.csv
LOT NO. 1176 in DD NO. 215,LOT1176DD215,landsale.csv
LOT NO. 1180 IN DEMARCATION DISTRICT NO. 215,LOT1180DD215,landsale.csv
LOT NO. 1181 IN DEMARCATION DISTRICT NO. 215,LOT1181DD215,landsale.csv
LOT NO. 1200 IN DD NO. 217,LOT1200DD217,landsale.csv
LOT NO. 1588 in DD NO. 243,LOT1588DD243,landsale.csv
LOT NO. 1613 in DD NO. 222,LOT1613DD222,landsale.csv
LOT NO. 1677 IN DEMARCATION DISTRICT NO. 115,LOT1677DD115,landsale.csv
LOT NO. 1681 IN DEMARCATION DISTRICT NO. 243,LOT1681DD243,landsale.csv
Lot No. 1848 in D.D. Cheung Chau,LOT1848DDCHEUNGCHAU,landsale.csv
LOT NO. 1872 IN DEMARCATION DISTRICT CHEUNG CHAU,LOT1872DDCHEUNGCHAU,landsale.csv
LOT NO. 1909 IN DEMARCATION DISTRICT NO. 100,LOT1909DD100,landsale.csv
LOT NO. 1949 in DD 221,LOT1949DD221,landsale.csv
LOT NO. 1950 in DD NO. 221,LOT1950DD221,landsale.csv
LOT NO. 1985 IN SURVEY DISTRICT NO. 2,LOT1985SD2,landsale.csv
LOT NO. 2086 in DD NO. 105,LOT2086DD105,landsale.csv
LOT NO. 2115 IN DEMARCATION DISTRICT NO. 105,LOT2115DD105,landsale.csv
LOT NO. 2129 in DD NO. 121,LOT2129DD121,landsale.csv
LOT NO. 2172 IN DEMARCATION DISTRICT NO. 121,LOT2172DD121,landsale.csv
LOT NO. 2640 IN DEMARCATION DISTRICT NO. 92,LOT2640DD92,landsale.csv
LOT NO. 2883 IN DEMARCATION DISTRICT NO. 130,LOT2883DD130,landsale.csv
LOT NO. 4076 IN DEMARCATION DISTRICT NO. 91,LOT4076DD91,landsale.csv
LOT NO. 4309 in DD NO. 124,LOT4309DD124,landsale.csv
LOT NO. 5382 IN DEMARCATION DISTRICT NO. 116,LOT5382DD116,landsale.csv
LOT NO. 673 in DD PENG CHAU,LOT673DDPENGCHAU,landsale.csv
LOT NO. 674 in DD PENG CHAU,LOT674DDPENGCHAU,landsale.csv
LOT NO. 676 in DD NO. PENG CHAU,LOT676DDPENGCHAU,landsale.csv
LOT NO. 678 in DD PENG CHAU,LOT678DDPENGCHAU,landsale.csv
LOT NO. 682 IN DEMARCATION DISTRICT PENG CHAU,LOT682DDPENGCHAU,landsale.csv
LOT NO. 686 IN MA WAN,LOT686DDMAWAN,landsale.csv
LOT NO. 722 IN DEMARCATION DISTRICT NO. 332,LOT722DD332,landsale.csv
LOT NO. 724 in DD NO. 332,LOT724DD332,landsale.csv
LOT NO. 726 in DD NO. 332,LOT726DD332,landsale.csv
LOT NO. 726 in DD NO. 4 MUI WO,LOT726DD4,landsale.csv
LOT NO. 738 IN DEMARCATION DISTRICT NO. 332,LOT738DD332,landsale.csv
